nome,cpf,conta,saldo
Sr. Francisco das Neves,386.041.275-26,101297,25551.4
Emilly Souza,745.180.693-66,101298,25423.01
Srta. Nicole Araújo,812.657.394-55,101299,3153.59
Marcela da Mata,234.760.519-43,101300,42017.43
Júlia Oliveira,974.580.231-04,101301,16683.74
Joana Souza,542.037.168-53,101302,7319.15
Cauã Porto,260.147.359-25,101303,434.74
Davi Lucca Sales,864.105.239-98,101304,24859.78
Rebeca Cavalcanti,768.945.230-29,101305,26408.68
Sra. Gabrielly Campos,572.386.094-10,101306,48813.51
Noah Freitas,457.239.681-73,101307,20976.41
Rodrigo Ramos,670.128.594-58,101308,36057.39
João Vitor Cardoso,843.092.561-98,101309,1589.35
Srta. Lavínia Ribeiro,478.631.952-09,101310,21354.83
Gustavo Rodrigues,416.279.058-20,101311,32906.46
Srta. Maria Sophia da Rosa,671.359.084-57,101312,5519.65
Sr. Gabriel Castro,529.047.831-05,101313,17770.81
Laís Nunes,257.390.418-05,101314,48239.31
Laís Lopes,061.729.548-49,101315,22211.24
Fernando Costa,941.372.658-28,101316,8387.24
Emilly Viana,135.890.426-05,101317,36209.48
Lorena Caldeira,862.741.395-91,101318,42514.81
Igor Novaes,072.941.568-67,101319,27484.81
Mariana Gomes,521.783.094-88,101320,32510.98
Luna Sales,108.475.936-57,101321,25764.43
Sr. Juan Sales,416.759.280-02,101322,49562.91
Pedro Miguel Silveira,134.590.287-50,101323,37697.11
Alexia Barros,834.621.075-26,101324,3235.81
Luana Azevedo,234.871.095-14,101325,25313.5
Bryan Araújo,814.723.965-37,101326,6451.95
João Guilherme Pinto,847.316.205-62,101327,7221.3
Clara Cunha,790.235.618-21,101328,17691.37
Ana Cavalcanti,742.381.956-55,101329,39607.56
Noah da Costa,901.823.567-95,101330,13386.13
Yuri da Rocha,824.350.796-56,101331,27269.24
Nicole Pires,530.784.162-08,101332,13223.08
Igor Viana,973.502.164-16,101333,44498.76
Cauê Nogueira,589.764.302-47,101334,18225.46
Diogo Ramos,490.257.613-99,101335,37808.05
Ian da Paz,580.941.627-67,101336,26259.93
Ana Lívia Martins,270.931.846-69,101337,2544.54
Lívia Vieira,641.592.738-82,101338,32153.75
Sra. Isadora Martins,172.504.638-53,101339,38636.28
Bruno Oliveira,387.219.056-30,101340,46196.57
Yago Ribeiro,586.927.340-47,101341,22875.12
Sarah Caldeira,062.514.839-89,101342,29357.3
Matheus Porto,046.973.218-04,101343,42697.65
Luna Pinto,658.093.142-60,101344,40579.7
Guilherme Gonçalves,109.783.254-60,101345,13896.13
Luigi da Conceição,403.759.128-60,101346,34699.47
Heitor Santos,358.210.746-90,101347,10321.5
Maysa Viana,693.208.174-13,101348,20919.95
Srta. Ana Duarte,051.239.476-80,101349,15245.52
Davi Lucas Duarte,641.379.058-00,101350,25688.21
Esther Aragão,352.481.609-60,101351,36044.31
Felipe da Luz,298.106.543-24,101352,15792.36
Maria Luiza Ferreira,943.702.516-99,101353,27209.56
Sr. Gustavo da Cunha,104.357.689-48,101354,38923.46
Luna da Rosa,645.107.293-16,101355,33628.65
Rodrigo Ramos,346.120.789-69,101356,18558.45
Emanuelly da Rosa,802.394.751-60,101357,47858.72
Bernardo Freitas,097.852.643-00,101358,29402.5
Diego Cardoso,819.276.540-76,101359,11672.97
Milena Lopes,678.951.023-03,101360,44365.23
Lorena Pinto,526.071.349-43,101361,2958.5
Dr. Luiz Miguel da Rocha,364.729.851-46,101362,18331.19
Isaac Alves,270.456.913-43,101363,6660.14
Isadora Nascimento,143.276.059-99,101364,25922.61
Carolina Souza,019.438.762-31,101365,5374.19
Vitor Hugo das Neves,865.072.914-20,101366,13029.86
Isaac Azevedo,350.842.976-83,101367,25985.82
Sabrina Aragão,345.706.892-56,101368,45106.72
Sra. Maria Luiza da Costa,359.846.702-83,101369,604.14
Pietra Gomes,360.874.195-00,101370,21260.92
João Vitor Rodrigues,829.356.047-92,101371,12552.22
Yasmin Rezende,247.956.183-64,101372,3552.27
Lucca Martins,314.285.076-71,101373,35023.23
Lara das Neves,983.105.426-15,101374,18240.22
Pietro Jesus,640.592.138-70,101375,4929.73
Evelyn Aragão,173.459.860-39,101376,6702.86
Sra. Olivia Teixeira,125.840.793-05,101377,44615.64
João Gabriel Novaes,268.319.745-46,101378,30274.63
Fernanda Ramos,861.907.354-01,101379,35100.35
Juliana Pereira,140.532.679-43,101380,20305.86
Dr. Augusto Pires,714.609.328-03,101381,26557.12
Dr. Gustavo Nascimento,960.532.147-52,101382,20365.66
Augusto Azevedo,908.135.246-60,101383,19576.12
Rodrigo Cunha,571.624.983-37,101384,9885.88
Yasmin Silveira,389.570.142-41,101385,49838.79
Sr. Arthur da Paz,267.348.509-00,101386,32455.29
Eduarda Rezende,893.024.176-03,101387,27917.7
Marcelo Alves,752.940.168-85,101388,11115.2
Daniela Aragão,036.917.845-93,101389,7035.78
Laura Ribeiro,821.709.563-95,101390,17793.0
Alícia Cardoso,892.750.136-59,101391,1449.24
Heitor Almeida,506.294.713-80,101392,6192.11
Ryan Cardoso,810.675.342-53,101393,36174.96
Sra. Alexia Moraes,386.412.759-91,101394,47003.41
Ana Luiza Moreira,719.584.602-49,101395,49115.48
Srta. Maysa Freitas,743.296.810-13,101396,34418.55
Srta. Sabrina Jesus,480.372.195-50,101397,10423.11
Sophie Lopes,672.180.943-50,101398,39150.29
Juan Cavalcanti,847.163.029-03,101399,5173.35
Maria Cecília Santos,057.936.184-57,101400,28362.61
Sr. Luiz Henrique das Neves,423.179.850-88,101401,25264.66
Breno Cardoso,351.062.478-53,101402,30128.67
Alana Farias,890.643.257-74,101403,22580.24
Antônio da Rocha,150.346.279-06,101404,43756.09
Marcos Vinicius Moraes,850.746.123-90,101405,7417.18
Ana Lívia Pires,487.253.169-82,101406,47382.94
Melissa Vieira,342.986.507-74,101407,19498.93
Melissa Carvalho,435.608.217-62,101408,30382.83
Sr. Juan Barbosa,964.815.237-37,101409,28331.0
Alexandre Novaes,367.980.145-93,101410,46307.39
Breno Fernandes,625.807.349-29,101411,28921.35
Sra. Daniela Araújo,374.106.582-07,101412,43710.59
Laís Nascimento,651.279.438-91,101413,42460.56
Maria Vitória Gonçalves,542.198.307-23,101414,40249.39
Ana Clara Gonçalves,182.690.473-50,101415,7257.28
Lorenzo Costela,415.072.386-90,101416,28047.92
Vitor Ribeiro,219.847.063-22,101417,45587.51
Maria Sophia da Mata,851.976.234-46,101418,29429.71
Sr. Enrico Cavalcanti,785.014.329-97,101419,4033.33
Maria Fernanda Rodrigues,946.270.513-52,101420,29322.12
Sra. Luana da Cruz,247.859.603-29,101421,38322.37
Dr. Gabriel Porto,204.781.539-88,101422,7903.35
Diego Moura,892.760.143-22,101423,43103.87
Vitória Lima,815.742.603-08,101424,13352.02
Milena Mendes,867.402.395-92,101425,30362.84
Melissa Cardoso,816.340.725-53,101426,8800.52
Maria Martins,619.578.432-09,101427,49942.66
Ana Júlia Oliveira,016.589.247-11,101428,28926.67
Pietro Correia,932.561.874-55,101429,30791.59
Pedro Lucas Mendes,569.372.148-55,101430,1002.66
Bárbara Gomes,609.321.874-04,101431,5553.63
Alexia Oliveira,059.243.681-06,101432,975.45
Dr. Davi Lucas Novaes,076.351.289-30,101433,7756.88
Dra. Maria Eduarda Azevedo,753.064.928-00,101434,43327.16
Sr. Luiz Otávio Farias,895.176.420-67,101435,22977.21
Raquel Santos,480.719.523-97,101436,37300.29
Esther Carvalho,801.492.736-22,101437,23456.1
Sophie Lima,046.235.918-24,101438,30055.92
Maysa da Rocha,310.965.482-24,101439,2584.33
Gabriela Campos,786.950.234-00,101440,16158.01
João Gabriel Souza,401.926.573-99,101441,30984.95
Catarina Carvalho,483.127.095-41,101442,23984.18
Dr. Luiz Otávio Souza,685.307.149-20,101443,34112.34
Sr. Enzo Gabriel Mendes,214.380.659-06,101444,38701.47
Lívia Peixoto,285.437.169-00,101445,2126.15
Marcos Vinicius Rodrigues,963.041.257-80,101446,18238.2
Benício Gonçalves,720.384.159-60,101447,26806.98
Camila Campos,475.961.203-34,101448,43044.87
Igor Gonçalves,976.105.823-95,101449,28054.99
Pedro Lucas Lopes,903.876.415-48,101450,39138.47
Sr. Marcelo Aragão,653.810.792-30,101451,46584.84
Benjamin Silva,806.947.251-02,101452,5646.29
Eloah Dias,734.695.018-66,101453,7471.52
Dr. Otávio Moreira,098.263.147-22,101454,11079.14
Luiza Cavalcanti,837.694.502-56,101455,39673.94
Sra. Amanda Fogaça,725.816.904-02,101456,16000.33
Pedro Lucas Araújo,390.267.458-00,101457,12177.1
Paulo Gomes,145.037.268-62,101458,39882.49
Ana Julia Ferreira,263.901.478-13,101459,16471.0
Miguel da Paz,178.209.453-97,101460,19034.04
Noah da Mota,301.692.874-40,101461,18352.39
Vitor Hugo Pinto,742.958.301-60,101462,26275.79
Brenda Barbosa,460.398.217-87,101463,5459.37
Vitor Hugo Viana,068.493.571-66,101464,25084.05
João Pedro Caldeira,198.763.250-86,101465,19329.45
Sarah Jesus,341.987.065-57,101466,30065.77
Maria Clara Moura,812.594.307-23,101467,48737.23
Ryan Lima,839.074.165-20,101468,27069.05
Alana Almeida,087.412.369-04,101469,24160.08
Maitê Vieira,139.475.062-52,101470,35616.45
Sra. Camila Oliveira,456.829.317-00,101471,48228.42
Manuela Almeida,903.587.462-56,101472,30130.77
Mariane Mendes,273.948.506-92,101473,8817.35
Dr. Heitor Sales,260.135.487-90,101474,21333.55
Emanuelly Souza,157.428.603-07,101475,15757.0
Sr. Luiz Henrique Azevedo,528.137.940-23,101476,38770.86
Nicolas Vieira,645.023.791-07,101477,21428.06
Igor Nunes,024.571.386-71,101478,6583.5
Ana Sophia Caldeira,864.713.509-10,101479,49265.41
Noah Pereira,340.267.891-87,101480,13825.51
Dr. Otávio Ferreira,879.321.540-14,101481,1879.39
Danilo Teixeira,047.851.639-84,101482,37070.05
Diego Alves,156.203.789-77,101483,40099.8
Kamilly da Costa,295.401.863-15,101484,35460.29
Heitor Moraes,754.081.693-75,101485,38102.05
Alexia Lima,615.382.947-37,101486,43417.25
Laura da Mota,831.640.729-96,101487,17616.13
Luiz Fernando Moraes,867.350.942-47,101488,17060.47
Murilo Rodrigues,971.834.056-48,101489,3454.04
Rafaela da Paz,021.658.793-02,101490,29998.81
Manuela Nunes,405.936.182-89,101491,18557.93
Bernardo Novaes,519.760.483-20,101492,13110.31
Benício das Neves,928.543.706-00,101493,2154.03
Maria Alice Rocha,962.175.834-37,101494,43047.41
Joaquim Jesus,972.305.486-83,101495,26412.29
Rafaela Ramos,605.281.974-01,101496,24254.08
Davi Luiz da Paz,096.241.378-03,101497,7982.4
Giovanna Freitas,741.320.598-04,101498,29930.16
Fernando Silveira,243.059.817-50,101499,18566.38
Ana Clara Duarte,520.347.196-70,101500,8162.58
Vicente da Mata,027.965.384-00,101501,13200.43
Calebe Pereira,701.968.324-03,101502,28686.66
Sr. Pietro Moraes,601.497.583-75,101503,14181.97
Srta. Rebeca Pires,190.642.758-58,101504,37690.4
Larissa Mendes,057.369.284-00,101505,25240.26
Brenda Sales,148.063.259-70,101506,19934.02
Dr. Caio Souza,216.839.745-73,101507,10373.82
Ana Beatriz Peixoto,496.278.103-04,101508,20980.71
Enrico da Luz,029.175.843-60,101509,31582.88
Luiza Nunes,379.654.281-64,101510,41022.29
Ana Clara Alves,314.259.786-73,101511,46146.7
Carolina da Conceição,150.726.394-52,101512,42070.19
Bruno Novaes,072.341.689-31,101513,28412.77
Maria Luiza Cunha,034.869.527-65,101514,28967.02
Natália Nascimento,854.170.362-26,101515,27875.61
Sra. Stella Lopes,986.103.452-89,101516,91.45
Francisco Jesus,735.894.021-05,101517,9968.3
Isadora Ramos,250.471.893-41,101518,41074.05
Maria Vitória Carvalho,710.846.953-75,101519,7528.38
Dr. Lucca Dias,803.542.796-29,101520,15493.21
Luna Viana,147.863.209-78,101521,133.48
Felipe da Mota,327.605.841-35,101522,36940.9
Agatha Correia,059.423.178-79,101523,10703.27
Ana Laura Silveira,674.289.130-04,101524,2711.63
Pedro Miguel Lopes,985.476.032-47,101525,31881.17
Cecília Nogueira,210.453.967-61,101526,31968.95
Sr. Benjamin Viana,659.084.127-67,101527,16863.15
João Lucas Jesus,634.501.972-07,101528,41733.51
Ana Sophia das Neves,746.512.089-67,101529,5026.03
Maria Clara Costela,123.758.604-62,101530,10186.87
Pedro Henrique Pereira,129.470.836-87,101531,15088.29
Bernardo Lopes,814.237.590-79,101532,3032.16
Fernanda Nascimento,460.283.195-89,101533,26192.13
Carolina Ramos,859.742.031-60,101534,13789.56
Pedro Campos,250.983.764-83,101535,9027.54
Beatriz Lima,519.306.284-98,101536,22981.09
Alice Nogueira,320.154.897-97,101537,8726.63
Gustavo Henrique da Conceição,106.735.429-80,101538,16780.37
Valentina Campos,382.457.916-28,101539,13062.05
Sabrina Barros,546.321.809-98,101540,27531.26
Igor Castro,458.679.203-56,101541,46608.34
Isis Barros,941.837.062-03,101542,1924.34
Srta. Agatha Alves,423.650.178-35,101543,47336.8
Sra. Bárbara Almeida,189.342.560-60,101544,33544.39
Luiz Felipe Farias,641.893.052-51,101545,42016.84
Maysa Correia,235.841.760-26,101546,8709.33
Srta. Sofia Ramos,405.793.168-66,101547,17773.78
Raul Rodrigues,435.027.189-97,101548,49632.69
Henrique Rezende,623.017.985-77,101549,33832.2
Vitor Gabriel Nunes,359.416.280-05,101550,2480.45
Sofia Dias,253.814.790-50,101551,3137.82
João Felipe Peixoto,503.162.487-62,101552,14525.13
Arthur Rodrigues,615.289.370-40,101553,48295.58
Vitor Oliveira,017.432.586-07,101554,16733.26
Juliana Cavalcanti,749.632.108-78,101555,45125.34
Sr. Enzo Pinto,087.596.324-29,101556,7933.08
Manuela da Costa,907.385.642-65,101557,10670.15
Bruno Barros,940.631.825-33,101558,25078.43
Lucas Santos,162.830.579-77,101559,3262.52
Maria Fernanda Dias,263.548.971-82,101560,36739.79
Bruno Nascimento,267.150.398-95,101561,40745.26
Milena da Cunha,950.163.478-75,101562,5169.76
Noah Gomes,659.183.047-20,101563,38319.73
Ana Sophia Cardoso,291.034.867-96,101564,1728.76
Manuela da Rosa,135.726.498-46,101565,44993.52
Sr. Rafael Teixeira,067.523.489-10,101566,23395.95
Dr. Augusto Alves,682.590.413-24,101567,35713.54
Ana Carolina Ribeiro,821.950.734-97,101568,30572.19
Isabella da Rosa,735.089.126-12,101569,12828.15
Daniel da Mata,027.468.913-87,101570,13438.46
Yuri Peixoto,874.219.650-76,101571,33302.08
Pedro Lucas da Cunha,758.643.209-00,101572,19902.24
Kevin Nascimento,753.428.609-38,101573,47146.28
Sra. Maria Julia Fogaça,328.796.014-87,101574,49403.78
Maitê Correia,041.273.586-53,101575,29744.56
Bryan Cavalcanti,981.736.240-03,101576,13919.93
Vitor da Mata,731.265.890-30,101577,48621.2
Mariana Novaes,243.075.986-10,101578,37521.16
Yuri Campos,658.491.203-51,101579,22850.36
João Guilherme Barbosa,786.430.519-93,101580,2120.71
Vitor Fernandes,019.857.634-00,101581,30122.09
Dr. Emanuel Costela,248.519.073-97,101582,38539.46
Luigi Nogueira,280.475.136-80,101583,29290.67
Maria Aragão,290.185.473-79,101584,39009.25
Isis Correia,912.563.780-03,101585,24288.81
Maria Mendes,154.207.398-79,101586,5430.74
Anthony Melo,138.574.920-23,101587,20864.6
Maria Julia Ramos,907.623.415-99,101588,37396.85
Bárbara Farias,397.142.805-32,101589,19691.98
Cecília Vieira,039.574.186-66,101590,17491.92
Marcos Vinicius Almeida,780.149.326-50,101591,31430.16
Emanuella Teixeira,053.647.198-39,101592,40825.67
Pedro Miguel Almeida,647.295.103-99,101593,31178.05
Maysa Aragão,746.891.302-13,101594,25975.54
Bernardo Alves,739.514.208-04,101595,40609.51
Gabriel da Rosa,410.638.759-00,101596,5361.34
Catarina Fogaça,106.892.754-20,101597,47998.56
Sr. Enzo Gabriel Melo,584.130.792-41,101598,34299.08
Bárbara Pereira,560.981.342-51,101599,25550.72
Isabella da Conceição,426.501.837-80,101600,16689.2
Srta. Daniela Barros,258.693.174-28,101601,28443.76
Levi Souza,437.685.912-55,101602,32967.13
Daniel Martins,953.718.420-04,101603,10851.99
Julia Jesus,697.012.834-22,101604,49613.51
João Lucas Melo,912.485.307-05,101605,18302.76
Dr. Raul Santos,420.365.917-52,101606,28833.95
Isabella da Luz,159.203.764-06,101607,43698.86
Gabriela da Luz,456.932.107-07,101608,5488.9
Mariana Farias,481.639.570-93,101609,14551.21
Mariane Martins,849.357.601-84,101610,47992.44
Rebeca Moura,173.089.462-31,101611,46620.32
Paulo Jesus,783.015.649-20,101612,46493.51
Alexandre Barros,893.640.152-15,101613,422.48
Dra. Maria Eduarda Alves,293.815.640-51,101614,9881.68
Nathan Oliveira,806.372.491-78,101615,26664.27
Luiz Miguel da Rosa,149.378.260-69,101616,48745.17
Sr. Joaquim Teixeira,489.527.160-94,101617,40654.78
Sra. Emilly Costela,503.128.479-04,101618,26764.65
Daniel Cardoso,758.201.934-23,101619,45461.1
Kevin Martins,871.526.934-55,101620,36635.27
Luiz Gustavo Mendes,945.863.107-66,101621,38970.93
Lívia Moreira,198.520.463-06,101622,36246.54
Nathan Aragão,914.732.086-96,101623,25353.37
Emanuel Almeida,573.984.062-74,101624,43486.09
Luiz Henrique Barros,063.419.527-16,101625,3835.86
Sr. Vitor Oliveira,160.472.583-44,101626,43980.21
Srta. Luna Dias,430.628.571-53,101627,14748.64
Noah Peixoto,837.912.546-00,101628,40020.62
Vitor Gabriel Dias,467.510.983-75,101629,20780.33
Rafaela Araújo,624.815.930-06,101630,36375.91
Cauê Ribeiro,065.723.419-25,101631,41786.97
Dra. Maitê Barbosa,312.476.089-13,101632,9735.39
Isabelly Nascimento,924.810.635-89,101633,2455.24
Isis Peixoto,217.059.638-03,101634,15497.26
Maria Cecília Dias,681.259.430-05,101635,41340.69
Carolina Pinto,670.429.851-76,101636,44529.54
Raul Freitas,916.045.382-60,101637,22081.16
Dr. Davi Luiz Jesus,864.915.730-01,101638,28696.72
Sr. Enzo da Costa,160.352.489-42,101639,684.59
Thiago da Luz,479.680.213-40,101640,8676.35
Maria Cecília Pires,468.327.190-78,101641,31518.71
Dr. Calebe Vieira,154.280.973-88,101642,41512.23
Cauê Ribeiro,291.406.758-58,101643,19043.49
Clarice Pires,135.798.260-77,101644,2883.75
Guilherme Sales,246.581.709-49,101645,6623.15
Thomas Gomes,203.469.758-83,101646,7871.81
Catarina Moraes,563.872.910-03,101647,11410.61
Maria Sophia Rodrigues,749.612.083-96,101648,2957.4
Melissa Monteiro,021.478.963-22,101649,17671.57
Sra. Rebeca Mendes,314.062.758-08,101650,7962.0
Lavínia Martins,052.648.971-58,101651,45602.22
Dr. Samuel Ribeiro,753.428.160-17,101652,16985.96
Ian da Costa,078.635.249-38,101653,947.72
Benjamin Fernandes,830.659.741-93,101654,11824.8
Manuela Vieira,190.268.573-30,101655,21079.02
Daniel das Neves,214.036.879-78,101656,29707.83
Luiz Otávio Rodrigues,734.805.619-93,101657,44667.44
Raquel Rezende,468.039.257-65,101658,37725.72
Dr. Rafael Souza,435.217.609-52,101659,47330.77
Nathan Costela,463.890.172-78,101660,29082.19
Emanuel Alves,845.672.103-44,101661,20862.8
Júlia Alves,149.082.653-05,101662,21872.29
Diego Lima,596.128.437-91,101663,5798.14
Laura Ramos,687.039.541-10,101664,10417.47
Luigi Souza,951.028.463-70,101665,22446.33
Dr. Guilherme da Mota,653.074.891-10,101666,18133.06
Guilherme Ferreira,796.405.381-75,101667,34167.04
Sra. Pietra da Cunha,972.608.413-03,101668,28000.29
Alexia da Mata,729.051.368-12,101669,39727.56
Enzo Nunes,368.249.751-09,101670,32573.96
Alice Costela,805.192.734-60,101671,17772.49
Nathan Almeida,412.350.879-05,101672,15351.48
Lucas Gabriel Duarte,573.184.296-55,101673,36235.49
Fernanda Freitas,095.123.647-43,101674,37536.22
Eduardo da Costa,324.867.095-92,101675,1734.25
Sabrina Ramos,076.915.834-00,101676,10004.04
Danilo Araújo,628.475.310-17,101677,25279.61
Juan Oliveira,568.217.930-77,101678,16161.12
Mirella Melo,568.407.139-20,101679,1611.11
Luiza Almeida,018.296.345-42,101680,11087.6
Alice Barros,302.918.764-04,101681,10374.2
Giovanna da Mota,645.279.018-85,101682,28770.81
Isadora da Luz,253.168.907-95,101683,26544.62
Marina Araújo,217.380.469-31,101684,23710.01
Yuri Rezende,826.493.570-29,101685,48191.85
Srta. Letícia Moreira,259.178.036-68,101686,2622.38
Enzo Gabriel Souza,601.382.457-62,101687,49592.4
Levi Alves,173.528.946-91,101688,4386.81
Pedro Henrique Dias,874.690.352-65,101689,20202.27
Julia Teixeira,270.859.361-77,101690,47932.75
Dr. Enrico Cunha,561.203.789-95,101691,27314.34
João Vitor Fernandes,746.503.182-62,101692,34561.94
Maitê da Cunha,237.498.601-22,101693,43951.01
Sr. André Rocha,340.285.167-90,101694,17295.9
Daniela Azevedo,031.259.468-24,101695,1483.88
Enrico Gonçalves,907.158.624-30,101696,29971.08
Stella Moreira,249.751.083-05,101697,46524.33
Bruna Porto,936.028.417-31,101698,17631.87
Raquel da Rocha,584.326.097-65,101699,765.04
Bárbara Ramos,647.128.350-44,101700,41340.1
Benício Alves,954.301.678-00,101701,10237.74
Srta. Ana Clara da Rocha,718.095.632-59,101702,18273.72
Eloah Moraes,168.452.793-73,101703,7579.51
Dr. Davi Nunes,754.680.931-20,101704,33603.75
Isaac Oliveira,053.128.976-12,101705,4456.03
Vitor Hugo Dias,829.715.064-01,101706,14759.41
Milena da Mata,062.587.934-10,101707,15043.05
Julia Nascimento,609.518.423-15,101708,38251.92
Camila da Mota,103.594.627-07,101709,42017.62
Nicolas Duarte,605.917.482-58,101710,9685.42
Miguel Cardoso,517.283.690-02,101711,14551.71
Sophie Silveira,912.706.384-40,101712,48558.58
Melissa Aragão,358.149.027-79,101713,42876.6
Alexandre Araújo,025.184.967-85,101714,46146.28
Olivia Correia,460.195.827-01,101715,43817.21
Ana Laura Barbosa,685.041.392-98,101716,11548.76
Larissa Castro,216.035.978-59,101717,7443.83
João Guilherme Barbosa,206.975.831-12,101718,16194.55
Emanuel da Mota,357.219.840-23,101719,7318.41
Bryan Costela,347.681.529-37,101720,35306.02
Clarice Azevedo,083.471.592-97,101721,6498.53
Arthur da Rosa,351.872.694-37,101722,915.56
Srta. Emanuelly Lima,075.961.284-67,101723,7770.16
Lavínia Peixoto,261.785.903-77,101724,12998.28
Dr. Thomas Peixoto,107.859.264-02,101725,43798.35
Rodrigo Ferreira,840.932.617-50,101726,15130.74
Antônio Almeida,506.231.847-53,101727,17867.1
Dra. Isabella Martins,762.548.109-30,101728,17373.63
Srta. Ana Laura Carvalho,173.928.546-82,101729,33209.08
João Gabriel Nascimento,943.270.568-47,101730,6579.85
Otávio Cardoso,821.564.703-08,101731,13513.09
Dra. Fernanda Nascimento,468.592.730-38,101732,44852.21
Lara Oliveira,754.139.260-06,101733,24523.04
Davi Luiz Martins,276.849.051-20,101734,42267.44
Pedro Lucas Mendes,781.934.025-88,101735,32176.31
Davi Luiz da Cruz,496.530.281-89,101736,44358.95
Davi Lucas Sales,680.274.351-53,101737,33204.56
João Pedro Melo,382.560.174-90,101738,14406.29
Milena da Costa,718.640.529-02,101739,34981.68
Camila Pires,807.413.562-44,101740,38664.65
Fernando Peixoto,759.826.314-00,101741,4406.9
Marina da Conceição,685.942.317-09,101742,22781.97
Theo Moreira,281.563.079-68,101743,12932.98
Nicolas Costela,280.451.379-32,101744,42907.14
Fernanda Costela,379.826.045-10,101745,32191.82
Joana da Rocha,789.056.241-11,101746,18130.27
Sr. João Cunha,813.420.965-33,101747,24834.89
Leonardo Fogaça,528.614.093-98,101748,1322.82
Dr. Isaac Jesus,279.501.648-67,101749,27028.64
Murilo Barros,473.926.180-40,101750,21186.53
Thomas Rodrigues,546.823.910-89,101751,21765.28
Leandro Rezende,069.835.741-84,101752,34537.2
Maria Eduarda Farias,194.327.680-31,101753,27219.97
Lorenzo Sales,941.706.385-57,101754,44872.74
Carlos Eduardo da Mata,319.854.067-48,101755,7007.97
Nathan da Conceição,680.215.749-76,101756,15596.92
Thomas Moreira,670.912.845-85,101757,20800.66
Dr. Thomas Silveira,389.475.201-79,101758,23578.86
Daniela Duarte,240.536.971-07,101759,21961.12
Juliana Araújo,672.098.143-96,101760,7358.07
Bernardo Costa,615.024.798-85,101761,33325.89
Brenda Viana,750.481.362-17,101762,37798.89
Yuri Teixeira,925.741.386-19,101763,147.03
Murilo Correia,879.354.016-75,101764,17651.04
Cauã Nogueira,513.276.948-91,101765,3173.2
Maria Fernanda Vieira,964.513.078-66,101766,14318.1
João Felipe Nunes,192.840.367-04,101767,32229.94
Gabrielly Almeida,685.974.321-28,101768,35277.28
Pietra Monteiro,163.495.270-70,101769,12996.09
Ana Lívia Caldeira,497.813.560-57,101770,5595.36
Maria Sophia Silva,917.045.683-66,101771,17952.23
Kevin Jesus,879.452.631-19,101772,6667.54
Sr. João Pedro Caldeira,756.490.182-94,101773,26374.99
Davi Lucas Moreira,309.142.587-88,101774,46803.38
Ana Clara Dias,102.378.956-68,101775,29828.9
Vitória da Rocha,081.397.625-12,101776,2565.28
Ana Clara Ribeiro,260.381.974-78,101777,48562.87
Clarice da Cruz,650.798.123-03,101778,683.59
Eduardo Moreira,357.064.928-83,101779,10726.97
Paulo Rodrigues,391.874.560-01,101780,21554.05
Leandro Alves,417.853.602-80,101781,47245.17
Elisa Barros,184.967.235-00,101782,12427.98
Vitor Gabriel Jesus,196.403.872-31,101783,33778.32
Diogo da Cunha,024.765.839-10,101784,4397.32
Ana Sophia Freitas,328.410.567-08,101785,21769.82
Sr. Heitor Rodrigues,765.103.298-59,101786,24309.24
Luiz Gustavo Cardoso,183.296.754-91,101787,37313.43
Stephany Nascimento,147.035.928-60,101788,11396.97
João Monteiro,641.873.092-50,101789,7675.91
Sarah Martins,256.847.013-53,101790,36328.26
Lorena da Luz,483.561.092-05,101791,35244.34
Dra. Lavínia da Rocha,421.768.950-02,101792,30821.36
Dr. Cauã da Cruz,397.216.084-40,101793,24724.71
Nicolas Farias,514.836.729-64,101794,36428.11
Eloah Cardoso,614.587.029-01,101795,5590.14
Rebeca Duarte,765.293.418-46,101796,18789.09
João Guilherme Nogueira,316.578.049-84,101797,8468.39
Marcelo Souza,897.640.251-02,101798,23000.01
Raquel Silva,420.395.178-04,101799,8408.65
Marcelo Freitas,694.287.310-13,101800,4458.92
Gabriela Fernandes,691.258.370-95,101801,8705.91
Matheus das Neves,510.647.938-00,101802,11857.51
João Miguel Cardoso,724.695.318-37,101803,47727.71
Luiz Henrique Viana,235.968.401-98,101804,35893.19
Ana Vitória Souza,643.827.019-96,101805,8003.02
Isadora Cavalcanti,589.230.761-12,101806,5896.46
Samuel Rocha,420.915.873-97,101807,619.37
Dra. Eloah Gomes,841.236.579-82,101808,48122.08
Mariane da Mota,074.268.135-17,101809,19305.32
Thales Cunha,481.526.730-80,101810,652.02
Marcelo Duarte,518.249.307-04,101811,29749.84
Gabrielly das Neves,194.762.580-20,101812,1167.52
Arthur Lopes,836.197.450-48,101813,32127.66
Beatriz da Mota,132.648.970-40,101814,6299.9
Maria Pereira,360.287.915-12,101815,7087.82
Gustavo Henrique Sales,943.752.816-00,101816,8236.44
Fernando Campos,875.163.029-02,101817,2377.91
Carolina Oliveira,359.862.704-10,101818,28162.94
Calebe Fogaça,602.579.341-70,101819,22225.61
Sr. Nathan Souza,397.052.486-56,101820,5663.84
Carolina Gomes,850.796.341-20,101821,1841.35
Srta. Milena Pires,274.560.318-35,101822,25613.06
Levi Porto,592.681.370-03,101823,48703.96
Henrique Nascimento,928.047.356-56,101824,45371.76
